SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,000 Kellett,Houston,TX,77028,20000,,,Johnson Place,,7200,,1,,,Active,,,http://www.redfin.com/TX/HOUSTON/KELLETT-ST-77028/home/30021953,HARMLS,90888366,N,Y,29.843892,-95.276176
MLS Listing,,Townhouse,10546 Bretton Dr,Houston,TX,77016,139000,3,2.0,Fontaine Place Sec 07,1691,6890,1962,1,82,,Active,,,http://www.redfin.com/TX/Houston/10546-Bretton-Dr-77016/home/30126100,HARMLS,45645148,N,Y,29.8663521,-95.3038591
MLS Listing,,Single Family Residential,2210 Harlem St,Houston,TX,77020,179999,3,2.0,Englewood,1417,5000,2007,1,127,,Active,,,http://www.redfin.com/TX/Houston/2210-Harlem-St-77020/home/29618514,HARMLS,14197885,N,Y,29.7814962,-95.3164383
MLS Listing,,Vacant Land,4608 Oats St,Houston,TX,77020,65000,,,Myrtle Villas,,2500,,1,,,Active,,,http://www.redfin.com/TX/Houston/4608-Oats-St-77020/home/172608920,HARMLS,75132852,N,Y,29.778173,-95.3234581
MLS Listing,,Vacant Land,4606 Oats St,Houston,TX,77020,65000,,,Myrtle Villas,,2500,,1,,,Active,,,http://www.redfin.com/TX/Houston/4606-Oats-St-77020/home/29646722,HARMLS,60373716,N,Y,29.778157,-95.323538
MLS Listing,,Vacant Land,0 Mobile St,Houston,TX,77015,163900,,,Home Owned Estates,,34379,,1,,,Active,,,http://www.redfin.com/TX/HOUSTON/MOBILE-ST-77015/home/30009851,HARMLS,2392239,N,Y,29.779617,-95.184863
MLS Listing,,Vacant Land,1914 Gregg St,Houston,TX,77020,35000,,,7118,,3450,,1,,,Active,,,http://www.redfin.com/TX/Houston/1914-Gregg-St-77020/home/29500089,HARMLS,33243977,N,Y,29.7783478,-95.3355881
MLS Listing,,Single Family Residential,7417 Gleason Rd,Houston,TX,77016,159000,3,1.5,Scenic Woods,1217,8100,1960,1,131,,Active,,,http://www.redfin.com/TX/Houston/7417-Gleason-Rd-77016/home/30084879,HARMLS,96691380,N,Y,29.8640396,-95.2952022
MLS Listing,,Single Family Residential,9219 Oak Knoll Ln,Houston,TX,77078,162000,3,2.0,Chatwood Place Sec 06,1783,7920,1960,1,91,,Active,,,http://www.redfin.com/TX/Houston/9219-Oak-Knoll-Ln-77078/home/30126798,HARMLS,29911309,N,Y,29.8392104,-95.2520193
MLS Listing,,Single Family Residential,6319 Eastland,Houston,TX,77028,187999,3,2.0,Liberty Road Manor Section 20,1770,4500,2020,1,106,,Active,,,http://www.redfin.com/TX/Houston/6319-Eastland-St-77028/home/172599019,HARMLS,11976235,N,Y,29.8202199,-95.2812147
