SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,13339 Sproule Ave,Sylmar,CA,91342,675000,4,2.0,Sylmar,1993,6098,1969,1,339,,Active,,,http://www.redfin.com/CA/Sylmar/13339-Sproule-Ave-91342/home/5409151,AVMLS,20005843,N,Y,34.3139611,-118.4467566
MLS Listing,,Single Family Residential,13441 Eldridge Ave,Sylmar,CA,91342,575000,4,2.0,SYL - Sylmar,1347,5651,1963,1,427,,Active,,,http://www.redfin.com/CA/Sylmar/13441-Eldridge-Ave-91342/home/5427541,CRISNet,SR20149337,N,Y,34.316063,-118.4225833
MLS Listing,,Townhouse,14169 Paddock St,Sylmar,CA,91342,425000,4,2.0,SYL - Sylmar,1506,108195,1980,1,282,230,Active,,,http://www.redfin.com/CA/Sylmar/14169-Paddock-St-91342/home/5409604,PFAR,820002925,N,Y,34.3127272,-118.4420496
MLS Listing,,Single Family Residential,14960 Foothill Blvd,Sylmar,CA,91342,520000,4,2.0,SYL - Sylmar,1634,16346,1954,1,318,,Active,,,http://www.redfin.com/CA/Sylmar/14960-Foothill-Blvd-91342/home/5401286,CRISNet,SR20149137,N,Y,34.3223358,-118.4586803
MLS Listing,,Townhouse,13240 Betz Blvd,Sylmar,CA,91342,574500,5,4.0,SYL - Sylmar,1780,,2018,1,323,255,Active,,,http://www.redfin.com/CA/Sylmar/13240-Betz-Blvd-91342/home/146020684,CRISNet,SR20128595,N,Y,34.301169,-118.422236
MLS Listing,,Vacant Land,12647 Bradley,Sylmar,CA,91342,1390000,,,Sylmar,,22221,,1,,,Active,,,http://www.redfin.com/CA/Sylmar/12647-Bradley-Ave-91342/home/5415716,TheMLS,20-609660,N,Y,34.2997945,-118.4528679
MLS Listing,,Single Family Residential,13061 Norris Ave,Sylmar,CA,91342,624999,4,2.0,SYL - Sylmar,1670,7602,1955,3,374,,Active,,,http://www.redfin.com/CA/Sylmar/13061-Norris-Ave-91342/home/5413865,CRMLS,BB20148268,N,Y,34.3067339,-118.4591396
MLS Listing,,Single Family Residential,13908 Pickadilly Pl,Sylmar,CA,91342,975000,4,3.25,SYL - Sylmar,3400,21800,2020,4,287,30,Active,,,http://www.redfin.com/CA/Sylmar/13908-Pickadilly-Pl-91342/home/5553130,CRMLS,BB20147900,N,Y,34.3257976,-118.4056191
MLS Listing,,Townhouse,13230 Klein Ct,Sylmar,CA,91342,534990,4,4.0,SYL - Sylmar,1780,20681,2017,4,301,287,Active,,,http://www.redfin.com/CA/Sylmar/13230-Klein-Ct-91342/home/143518307,CRMLS,PW20147796,N,Y,34.3011059,-118.4221108
MLS Listing,,Single Family Residential,13312 Beaver St,Sylmar,CA,91342,569900,3,2.0,SYL - Sylmar,936,5701,1946,4,609,,Active,,,http://www.redfin.com/CA/Sylmar/13312-Beaver-St-91342/home/5431815,CRISNet,SR20147361,N,Y,34.3169325,-118.4225284
